INDEX,NEWS_TITTLE,URL
1,'공매도 몸살' 게임株…지금 사도 될까,https://www.hankyung.com/finance/article/202105050623i
2,"'8살 딸 학대 살해' 계부, 쓰러진 딸 보고도 모바일 게임(종합)",http://yna.kr/AKR20210504063151065?did=1195m
3,소파 방정환 선생님이 만든 90년전 보드게임,http://www.newsis.com/view/?id=NISI20210505_0017420281
4,"도지코인 광풍 게임스톱 열풍과 비슷, 게임스톱 전철 밟을 듯",https://www.news1.kr/articles/?4297075
5,"""다시 강남으로 가자""…게임사들 줄줄이 판교 떠나는 이유",https://www.hankyung.com/it/article/2021050511461
6,"이마트, 컴투스 모바일 야구게임과 이색 마케팅",http://www.etnews.com/20210505000003
7,"""유통과 게임의 만남""…이마트, '컴프야2021'과 공동 마케팅",https://daily.hankooki.com/lpage/industry/202105/dh20210505060014148000.htm?s_ref=nv
8,"쓰러진 딸 보고 게임…""고의성 없었다"" 주장",https://imnews.imbc.com/replay/2021/nwtoday/article/6169403_34943.html
9,"넥슨, 5월 가정의 달 맞아 12종 게임 이벤트 ‘러시’",http://game.mk.co.kr/view.php?year=2021&no=431843
10,불법 사행성 게임장 운영…50대 업주 세명 입건,http://news.kmib.co.kr/article/view.asp?arcid=0015812034&code=61121211&cp=nv
